,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,Valence,time_signature
0,Glory (feat. Ladysmith Black Mambazo),"Love, Damini",Burna Boy,2022-07-07,231205,56,0.428,0.596,0.428,0.418,0.0,0.684,-10.281,0.207,158.015,0.364,4
1,Science,"Love, Damini",Burna Boy,2022-07-07,201793,59,0.874,0.0197,0.874,0.713,0.0189,0.344,-5.609,0.104,102.042,0.834,4
2,Cloak & Dagger (feat. J Hus),"Love, Damini",Burna Boy,2022-07-07,211050,61,0.791,0.16,0.791,0.608,0.00109,0.278,-6.634,0.209,103.063,0.497,4
3,Kilometre,"Love, Damini",Burna Boy,2022-07-07,152824,56,0.848,0.0522,0.848,0.812,0.0,0.0577,-4.0,0.139,103.016,0.489,4
4,Jagele,"Love, Damini",Burna Boy,2022-07-07,182037,59,0.824,0.0529,0.824,0.623,0.0838,0.122,-8.409,0.0681,94.999,0.633,4
5,Whiskey,"Love, Damini",Burna Boy,2022-07-07,203575,57,0.679,0.0534,0.679,0.453,0.00347,0.292,-8.129,0.369,134.605,0.882,3
6,Last Last,"Love, Damini",Burna Boy,2022-07-07,172342,66,0.812,0.143,0.812,0.563,0.0,0.0833,-4.455,0.0887,87.979,0.54,4
7,Different Size (feat. Victony),"Love, Damini",Burna Boy,2022-07-07,209968,63,0.728,0.609,0.728,0.751,0.0155,0.189,-9.09,0.0365,107.994,0.843,4
8,It's Plenty,"Love, Damini",Burna Boy,2022-07-07,216992,64,0.77,0.364,0.77,0.563,7.9e-05,0.319,-10.615,0.0928,107.027,0.6,4
9,Dirty Secrets,"Love, Damini",Burna Boy,2022-07-07,151855,58,0.569,0.114,0.569,0.593,3.27e-05,0.0385,-11.438,0.184,93.953,0.93,4
10,Toni-Ann Singh (feat. Popcaan),"Love, Damini",Burna Boy,2022-07-07,175677,58,0.632,0.406,0.632,0.617,1.17e-06,0.237,-6.42,0.385,133.084,0.861,5
11,Solid (feat. Blxst & Kehlani),"Love, Damini",Burna Boy,2022-07-07,195134,57,0.516,0.147,0.516,0.52,3.09e-05,0.0938,-9.445,0.352,199.636,0.728,4
12,For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,2022-07-07,159124,67,0.853,0.18,0.853,0.471,0.000136,0.207,-7.766,0.234,104.021,0.684,4
13,Rollercoaster (feat. J Balvin),"Love, Damini",Burna Boy,2022-07-07,187269,58,0.789,0.114,0.789,0.674,0.00077,0.129,-9.966,0.0699,99.023,0.827,4
14,Vanilla,"Love, Damini",Burna Boy,2022-07-07,155466,59,0.809,0.243,0.809,0.679,0.0142,0.641,-7.222,0.0671,100.001,0.7,4
15,Common Person,"Love, Damini",Burna Boy,2022-07-07,210346,61,0.642,0.662,0.642,0.683,0.498,0.104,-7.184,0.166,194.112,0.554,4
16,Wild Dreams (feat. Khalid),"Love, Damini",Burna Boy,2022-07-07,186189,58,0.514,0.0352,0.514,0.611,0.0,0.578,-6.286,0.064,123.277,0.425,5
17,How Bad Could It Be,"Love, Damini",Burna Boy,2022-07-07,297651,56,0.402,0.504,0.402,0.576,0.0,0.18,-10.743,0.391,75.222,0.548,1
18,"Love, Damini (feat. Ladysmith Black Mambazo)","Love, Damini",Burna Boy,2022-07-07,142737,54,0.539,0.668,0.539,0.129,0.0,0.0661,-12.009,0.313,169.424,0.547,4
19,Level Up (Twice As Tall) (feat. Youssou N'Dour),Twice As Tall,Burna Boy,2020-08-13,268760,40,0.519,0.524,0.519,0.325,0.0,0.532,-12.627,0.344,86.122,0.366,4
20,Alarm Clock,Twice As Tall,Burna Boy,2020-08-13,132626,34,0.794,0.0678,0.794,0.72,0.254,0.151,-8.049,0.0669,104.999,0.427,4
21,Way Too Big,Twice As Tall,Burna Boy,2020-08-13,200413,46,0.776,0.234,0.776,0.694,0.000759,0.165,-7.821,0.0448,114.044,0.334,4
22,Bebo,Twice As Tall,Burna Boy,2020-08-13,164253,35,0.822,0.0943,0.822,0.686,0.563,0.173,-8.359,0.1,108.023,0.475,4
23,Wonderful,Twice As Tall,Burna Boy,2020-08-13,213746,34,0.823,0.0364,0.823,0.596,0.0045,0.106,-6.482,0.0501,118.94,0.56,4
24,Onyeka (Baby),Twice As Tall,Burna Boy,2020-08-13,202146,37,0.826,0.147,0.826,0.687,0.00885,0.102,-5.155,0.0759,102.025,0.29,4
25,Naughty By Nature (feat. Naughty By Nature),Twice As Tall,Burna Boy,2020-08-13,214920,34,0.895,0.25,0.895,0.779,0.0,0.0965,-9.1,0.308,95.013,0.846,4
26,Comma,Twice As Tall,Burna Boy,2020-08-13,170880,34,0.909,0.0122,0.909,0.614,0.0016,0.103,-6.453,0.0973,114.052,0.499,4
27,No Fit Vex,Twice As Tall,Burna Boy,2020-08-13,221360,35,0.602,0.225,0.602,0.656,2.18e-05,0.25,-8.216,0.309,92.296,0.42,4
28,23,Twice As Tall,Burna Boy,2020-08-13,245920,49,0.841,0.164,0.841,0.533,0.0766,0.0974,-8.879,0.0865,102.952,0.513,4
29,Time Flies (feat. Sauti Sol),Twice As Tall,Burna Boy,2020-08-13,224400,36,0.632,0.0553,0.632,0.722,0.0013,0.0805,-6.703,0.129,193.883,0.838,4
30,Monsters You Made (feat. Chris Martin),Twice As Tall,Burna Boy,2020-08-13,217541,40,0.663,0.268,0.663,0.65,0.0,0.408,-7.527,0.191,142.02,0.356,4
31,Wettin Dey Sup,Twice As Tall,Burna Boy,2020-08-13,217653,35,0.756,0.578,0.756,0.578,0.000295,0.343,-6.357,0.201,101.789,0.7,4
32,Real Life (feat. Stormzy),Twice As Tall,Burna Boy,2020-08-13,197933,51,0.543,0.146,0.543,0.576,4.3e-05,0.332,-7.252,0.127,66.933,0.416,3
33,Bank On It,Twice As Tall,Burna Boy,2020-08-13,276536,45,0.789,0.289,0.789,0.388,0.00467,0.0971,-8.931,0.211,93.006,0.465,4
34,African Giant,African Giant,Burna Boy,2019-07-25,184761,38,0.714,0.508,0.714,0.467,0.000554,0.591,-12.093,0.257,89.982,0.563,4
35,Anybody,African Giant,Burna Boy,2019-07-25,188717,47,0.866,0.0111,0.866,0.875,5.8e-05,0.0695,-2.401,0.0602,104.001,0.626,4
36,Wetin Man Go Do,African Giant,Burna Boy,2019-07-25,188178,41,0.847,0.159,0.847,0.537,6.33e-05,0.25,-11.725,0.065,98.224,0.946,4
37,Dangote,African Giant,Burna Boy,2019-07-25,225407,40,0.639,0.529,0.639,0.661,0.0,0.0863,-5.009,0.378,128.613,0.808,5
38,Gum Body (feat. Jorja Smith),African Giant,Burna Boy,2019-07-25,195073,48,0.75,0.161,0.75,0.404,0.0,0.0863,-11.343,0.0903,96.965,0.763,4
39,Killin Dem (feat. Zlatan),African Giant,Burna Boy,2019-07-25,223531,38,0.89,0.105,0.89,0.709,0.164,0.113,-9.255,0.0993,112.976,0.609,4
